Seq,Phase,Scope,Trigger / Rule,Kind,Fires when,Defined in,What happens — side effects & details,Assessment,To-do (edit me)
11,"0 · Ambient doctrine","All sessions","Neon is authoritative for business state; Stripe for money; git never mirrors them","Doctrine","Any business-state question or update","`CLIENTS.md`; `WORKSPACES.md` § Rules; jamienisbet AGENTS.md","`biz.clients.status` is the one ladder column (new→talking→client / lost); flags are orthogonal (`work_started_at`, `stripe_customer_id`, `github_repo`, `archived_at`, value fields). DEAL.md carries a mirror row for cold reads only; sessions remind Jamie to do the dashboard step, never write Neon themselves.","Good — the one-store rule that killed the 0013 duplication problem. The DEAL.md mirror is a pragmatic, labelled exception.","—"
12,"0 · Ambient doctrine","All sessions","Honest gaps — `— not yet established`, never invented","Doctrine","Reading any knowledge/reference file with a declared gap","`knowledge/README.md` § Rules; `CONTEXT.md` § Shared resources","An agent that reads a gap raises it; it never fills it mid-task. Gaps are deliberate (voice example slots, app/AI standing inclusions, support window). The contabilista docs extend the idea with ✅confident/⚠️needs-confirmation markers.","Good — epistemically the most mature rule in the estate. The ✅/⚠️ third state is worth canonising for professional-domain content (report §6).","Optional: write the ✅/⚠️ convention into knowledge/README or docs README (report §6)."
13,"0 · Ambient doctrine","All sessions","Nothing is deleted; slugs never reused; drops carry reasons","Doctrine","Closing, dropping, or superseding anything","TICKETS.md § positional status; PROJECT.md (append-only decisions); `deals/README.md`","Done = `git mv` to `_done/`; dropped = same move + `> Dropped: <reason, date>` line; epics archive whole; decisions supersede by new ID, never edited away; lost deals keep folders; slugs never reused for a different thing.","Good — and it accidentally built the R100 event log (open/close/drop dates + cycle time in git), which nothing reads yet (report F10a/§3).","History read is jamienisbet cut `board-queries` 2."
14,"0 · Ambient doctrine","All sessions","Tickets ARE the plan — never a loose TODO.md/BACKLOG.md","Doctrine","Any planning impulse; ending any session with leftovers","`_system/README.md`; TICKETS.md working rules; ticket-craft skill; per-repo session-start hook prints the reminder","Plans, backlogs, task lists become stubs in `.icm/intake/` (epic or triage). Cutting what`s left is part of stopping. icm-check warns on loose TODO/BACKLOG at root.","Good — enforced by warn + hook reminder + Stop-hook nudge. Fully internalised across the repos read.","—"
15,"0 · Ambient doctrine","All sessions","Load-depth + declared Inputs only","Doctrine","Every stage entry; every context decision","`WORKSPACES.md` five layers; each stage contract`s Inputs table; global hook (`read on demand, stay within declared Inputs`)","Load down only as far as the task needs; a stage loads exactly its Inputs table, nothing else. Layer 3 = factory (stable), Layer 4 = product (per-run). A reference file naming a real client is a Layer-4 artifact in the wrong folder.","Good — the caps hold everywhere measured (report §5); Jamie`s real costs are money+latency, and thin entry serves both.","—"
16,"0 · Ambient doctrine","All sessions","Contract size caps: stages ≤80 lines, references ≤200, deliver rituals 160 (named exception)","Doctrine","Writing or growing any contract/reference","`WORKSPACES.md` § Rules","Over the cap = the file is doing two jobs; split it. Deliver`s three rituals carry converged process and get 160 by name.","Good — all measured files comply (sell/start 33–49; deliver 80–139; references ≤105).","—"
17,"0 · Ambient doctrine","All sessions","Redirect files, not copies — one declared micro-copy exception","Doctrine","Any cross-layer reference","`_system/README.md` house doctrine","Link, don`t restate — except `.icm/intake/README.md`, a deliberate self-contained micro-copy so cloud sessions seeing only one repo still have the ticket contract. In practice the four routing tables (AGENTS/CONTEXT/_system README/deliver CONTEXT) share the command rows` substance.","Mostly good — the micro-copy exception is exactly right. The 4-way routing overlap is real duplication that has so far been maintained correctly (cap 3→10 propagated everywhere). A warn, not a lie (report §1 4f).","Keep; re-check the four tables whenever a command`s semantics change."
18,"0 · Ambient doctrine","All sessions","Layer 0 is thin identity+routing, never templated","Doctrine","Creating or reviewing any repo`s AGENTS.md/CLAUDE.md","template README; icm-check comments; conformance contract step 3","Each repo writes its own Layer 0 (~30–90 lines, identity + routing, points at `.icm/intake/`); only the one-line `@AGENTS.md` importer is canonical. An empty register/identity would read as established intent — worse than none.","Good — and the reason the harness port is cheap: Layer 0 is vendor-neutral markdown. AUDIT #6 (≤50-line teaching rule vs flagship reality) is still an open decision by Jamie`s word.","AUDIT #6 stays tracked (Jamie, round 2)."
19,"0 · Ambient doctrine","Estate","`projects/` is never tracked in icm-board — no gitignore negations ever","Doctrine","Any temptation to commit client-repo content into icm-board","`AGENTS.md` standing rules","Client repos are separate git repos, present only on Jamie`s machine, deliberately not linked. Consequence: everything estate-wide in CI must go over the GitHub API (the entire reason estate-conformance.sh exists).","Good — clean separation with its cost (API vantage point) consciously paid.","—"
20,"0 · Ambient doctrine","Estate","Deals are tracked; secrets are not","Doctrine","Any deal-folder write","`AGENTS.md`; D5; `deals/README.md`","`workspaces/deals/` is committed (private repo; cloud sessions need it; past deals are precedent for pricing) but never credentials/tokens/identity documents — access recorded as existing, value in the password manager.","Good — D5`s reasoning (precedent for quotes) is actively used (pricing.md method step 2).","—"
21,"0 · Ambient doctrine","All sessions","Interrogation discipline: rounds ≤4, escape hatches, stop when answers stop changing the outcome","Prompted: contract","Any ritual that asks Jamie questions","`/project` §3; the analysis briefs; discovery-interview reference (3–5 for clients)","Highest-leverage first; every question carries `don`t know yet` as a valid answer that becomes an Open question or decision ticket; say what was left unasked. Client-only questions route to forms; never invent a recipient.","Good — genuinely distinctive and it works (three productive rounds in this analysis; dnd re-run recorded 12 decisions from one).","—"
22,"0 · Ambient doctrine","All sessions","Drop bias in ticket audits","Prompted: convention","Reconciling or auditing any backlog","Jamie`s standing guidance (2026-08-27/28 audits; memory: bar is `obviously required now`)","Prefer dropping a stub (with a `> Dropped:` line) over keeping a parked maybe; re-cut later from evidence if it comes back. D14 is the extreme form (purge over re-cut).","Good — matches solo-operator attention economics. D14`s side effects (dangling references) show the cost when applied to *archives*; the ongoing form (drops with reasons) is safer.","—"
23,"0 · Ambient doctrine","All sessions","`settings.local.json` is the accretion layer; `settings.json` stays clean policy","Doctrine","Any permission grant during a session","`_system/README.md`; icm-check warns when local settings are tracked","Session-granted permissions accrete locally and stay gitignored; committed settings carry only deliberate policy + hook wiring + secrets deny.","Good — and linted (icm-check + estate-conformance both warn on a tracked settings.local.json).","—"
24,"1 · Machine layer (Claude)","Global","Global working standards load","Prompted: contract","Every Claude Code session on the machine, any directory","`~/.claude/CLAUDE.md`","Injects: ICM doctrine summary, repo-owns-semantics, never-orchestrate, gates rule, CI-truth (with the exact banned commands), security posture, per-project brand isolation, concise output, Explore-subagent offloading, fix-source-not-symptom.","Good — thin (~45 lines) and accurate except one line: it claims `the one global hook (block-local-checks.sh)` while four global hooks are wired (report F11).","Fix the `one global hook` sentence (cut `opencode-operability` 5 pairs with it)."
25,"1 · Machine layer (Claude)","Global","`icm-session-start.sh` — ICM structure announcement","Programmed: hook (SessionStart)","Session start in any repo whose root has `pipeline/ workspaces/ _config/ _shared/ output/` markers","`~/.claude/hooks/icm-session-start.sh` wired in `~/.claude/settings.json`","Detects ICM markers; injects a MAP ONLY (paths, never contents): top-level dirs, up to 40 CONTEXT.md paths (`read on demand, stay within declared Inputs`), a Resend routing resolution (repo owns a resend script → use it, else the Resend MCP), and the gates/never-orchestrate line. Silent on non-ICM repos; fail-open on any error.","Good design (map-not-contents is exactly ICM). Two leaks: the find sweeps `.claude/worktrees/` so two ghost worktree contracts appear in every icm-board session; 40-path cap is arbitrary but sane.","Prune the stale worktrees (cut `hygiene-holes` 2); optionally exclude `.claude/worktrees` in the find."
26,"1 · Machine layer (Claude)","Global","`block-local-checks.sh` — the CI-truth enforcer","Programmed: hook (PreToolUse Bash)","Every Bash tool call, machine-wide","`~/.claude/hooks/block-local-checks.sh`","Blocks (exit 2 + reason): package-manager/turbo build/lint/typecheck/test/format incl. colon-suffixed scripts (lint:fix), direct binaries (tsc, next build, prettier, eslint), dev/start/preview/serve servers, e2e/unit runners (playwright, vitest, jest, cypress, mocha). Matches only at command-segment boundaries and strips heredoc bodies so quoted strings never trip it. DEFERS ENTIRELY when the current repo ships its own copy (sustentus does) so nothing fires twice.","Good — precise engineering (suffix matching, heredoc stripping, defer-to-repo). The defer contract quietly makes repo copies authoritative — consistent with `the repo wins`.","—"
27,"1 · Machine layer (Claude)","Global","`confirm-git-writes.sh` — irreversibility gate on git","Programmed: hook (PreToolUse Bash)","Every Bash tool call, machine-wide","`~/.claude/hooks/confirm-git-writes.sh`","Ordinary loop (add/commit/feature push/PR open/merge) runs free and silent per doctrine. Forces an ask on: history rewrites (rebase, amend, reset --hard, filter-branch, reflog expire, update-ref, force branch delete/rename), force/destructive pushes (--force*, --mirror, --delete, +refspec), pushes to main/master/trunk (explicit or implicit via checked-out branch), and `gh repo|release delete`. Handles `git -C` flags, segment boundaries, heredocs. Defers to a repo-owned copy.","Good — the irreversibility line is drawn exactly right for a dontAsk machine. Note: pushes to main are `ask`, and `/day`/ticket commits go to main — so every wrap push prompts once; that friction is deliberate.","—"
28,"1 · Machine layer (Claude)","Global","`guard-plaintext-secrets.sh` — secrets write-blocker","Programmed: hook (PreToolUse Write|Edit|MultiEdit)","Every file write/edit, machine-wide","`~/.claude/hooks/guard-plaintext-secrets.sh`","Denies writes containing credential-shaped literals: vendor prefixes (sk-ant-, sk-, ghp_/gho_/ghs_/ghr_, github_pat_, xox?-, re_, sbp_/sb_, AKIA…, vc_/prj_, BEGIN PRIVATE KEY) and generic `secret/token/password/api_key = <24+ opaque chars>` assignments. Ignored `.env`/`.env.local` writes pass (correct home); `.env.example/sample/template` stay guarded. Placeholders (${VAR}, process.env, your-key, xxx, redacted…) whitelisted. Deny reason instructs: move to env var; if not a real credential, tell Jamie rather than work around.","Good — turns the prose rule into an enforcement point at the moment of writing; the `tell Jamie rather than work around` clause is exactly the right escape hatch.","—"
29,"1 · Machine layer (Claude)","Global","Global permission map","Programmed: config","Permission resolution on every tool call","`~/.claude/settings.json` permissions","defaultMode auto (dontAsk-style). Deny reads: `.env*`, `*.pem`, `*.key`, `secrets/**`, `~/.claude/.credentials.json`, `~/.claude.json*` machine-wide. Ask: curl, sudo apt-get/tee, brew install/link, gsettings set. Allow: version checks, `command -v`, Apps + .claude reads. additionalDirectories: `/home/jamie-nisbet/Apps`.","Good — small allow surface, secrets denied at the read layer too (defence in depth with row 28). AUDIT P2 (over-broad grants in remi-ai etc.) tracks per-repo exceptions, not this file.","AUDIT P2 review of per-repo grants still open."
30,"1 · Machine layer (Claude)","Global","Session defaults: opus[1m] + xhigh effort + always-thinking + fresh worktree base","Programmed: config","Every session/worktree creation","`~/.claude/settings.json` (model, effortLevel, alwaysThinkingEnabled, worktree.baseRef)","Sessions run on Opus 1m-context at xhigh effort with thinking on; EnterWorktree branches from a fresh base. Fourteen plugin packs enabled (vercel, security, code-review, hookify, neon, resend, playwright, …).","Fine — quality-first defaults consistent with `money+latency` being managed via OpenCode for light work rather than by degrading Claude sessions.","—"
31,"1b · Machine layer (OpenCode)","Global","Global OpenCode rules file","Prompted: contract","Every OpenCode session (any directory)","`~/.config/opencode/AGENTS.md` (falls back to `~/.claude/CLAUDE.md` if absent — OpenCode reads Claude files natively)","Verbatim mirror of the global Claude standards (ICM doctrine, CI-truth, security, style).","Good that it exists; one stale sentence tells OpenCode sessions about `block-local-checks.sh`, a Claude hook with no OpenCode existence (the rails cover it there). Uncommitted — invisible to conformance.","Fix the hook sentence + decide versioning of `~/.config/opencode/` (cut `opencode-operability` 5)."
32,"1b · Machine layer (OpenCode)","Global","Global opencode.json — model ladder + plugins + MCP","Programmed: config","Every OpenCode session","`~/.config/opencode/opencode.json` (+ `dcp.jsonc`, `plugins/notify.js`, `agents/web-tester.md`)","Default model `vercel/zai/glm-5.3-flash` (paid-on-purpose: free endpoints must never drive client-repo sessions); small_model qwen3.7-flash for titles/summaries/compaction. share disabled; formatter off; compaction auto+prune. Plugin `@tarquinen/opencode-dcp@3.1.15` PINNED (plugins run at startup with auth.json access — floating tags would execute unreviewed publishes); quota plugin rejected as wrong package. MCP context7 + playwright configured with explicit PATH (systemd session lacks Homebrew PATH) but tools OFF by default, re-enabled per agent; `web-tester` agent gates Playwright.","Good — security reasoning (pin, paid-default, tools-off-by-default) is written where the config lives. This file IS decision history and is unversioned.","Version this directory (its `.gitignore` is already prepared) — Jamie`s call on where."
33,"1b · Machine layer (OpenCode)","Every repo","OpenCode estate rails (per-repo opencode.json)","Programmed: config","Every bash call in an OpenCode session in any estate repo","`<repo>/opencode.json` (canonical: `_system/template/root/opencode.json`; drift-checked by icm-check)","Permission map: `*` allow; deny the whole local-checks family (build/lint/typecheck/test/format/dev/start/preview, tsc/eslint/prettier/vitest/jest/playwright); allow git/gh/grep/rg/find/cat/ls/sed/head/tail; `git push*` → ask. share disabled; formatter off. Sustentus`s own copy additionally denies `gh *` (MCP instead) — a repo-wins divergence.","Good — CI-truth and push-gating hold in the second harness with zero hooks. Last-match-wins semantics verified against current OpenCode docs.","—"
34,"1b · Machine layer (OpenCode)","Global","OpenCode capability boundaries (what the harness cannot do)","Programmed: platform","Structural — constrains every OpenCode session","OpenCode docs (verified 2026-08-30): plugins events list; no URL scheme; skills search paths","No SessionStart context injection, no Stop gate (session.idle is observational after the fact) → the board greeting and wrap-reminder have no OpenCode life. No deep-link URL scheme exists at all → board one-tap cannot land in OpenCode; `opencode [dir] --prompt` and `opencode run` are the launchers. It DOES read `.claude/skills/<name>/SKILL.md` natively → ticket-craft, pr-conventions, and sustentus`s 31 skills already load. Commands live in `.opencode/commands/*.md` ($ARGUMENTS, @file refs, shell injection, per-command model pinning).","The decisive constraint set for the harness line (report §6c): process layer crosses cheaply; ambient layer (hooks, deep link) cannot. Commands can carry the checks the hooks lose (shell injection prints the board inline).","Port thin routers + /next as `.opencode/commands/` (cut `opencode-operability` 1–3)."
35,"2 · Repo session start","Every repo","`CLAUDE.md` → `@AGENTS.md` import (Layer 0)","Prompted: contract","Claude session opens at any migrated repo root","`<repo>/CLAUDE.md` (one line, canonical from `template/root/`); `<repo>/AGENTS.md` (repo-authored)","Both harnesses load the same Layer 0: what the repo is, routing table, standing rules, pointer to `.icm/intake/` for planning. 22/23 migrated; sustentus keeps a full CLAUDE.md (OpenCode falls back to it natively).","Good — the vendor-neutral move is complete and works in both harnesses. Docs describing it as in-flight are the lie (report F3).","Rollout language sweep (cut `doc-truth` 3)."
36,"2 · Repo session start","Every repo","Canonical per-repo `session-start.sh` — the repo`s own mini-board","Programmed: hook (SessionStart)","Session start in a repo with the hook seeded AND wired (currently wired in 11 of 23 incl. jamienisbet)","`.claude/hooks/session-start.sh` (canonical: `_system/template/claude/hooks/`); wiring in `.claude/settings.json`","Prints per epic: open count + next-in-sequence stub; triage count; legacy flat-ticket count; closes with `planning lives there, never a loose TODO.md`. Silent when intake is empty or hook unwired. Read-only, quiet on failure.","Good — the session opens knowing its own backlog, which is half the pick-up problem solved ambiently. Half the estate has it seeded-but-inert (settings predate wiring) — icm-check warns `inert` per repo.","Wire the inert hooks where wanted — `/icm-check` step 3 proposes per repo; Jamie decides."
37,"2 · Repo session start","Every repo","Per-repo secrets deny + hook wiring baseline","Programmed: config","Every session in a repo with seeded `.claude/settings.json`","`.claude/settings.json` (canonical: `template/claude/settings.json`)","Denies `.env*`/`*.pem`/`*.key`/`secrets/**` reads repo-locally (works in cloud sessions where the global layer is absent); wires session-start + wrap-reminder hooks.","Good — the cloud-session story is why this is per-repo and not only global.","—"
38,"2 · Repo session start","Every repo","Canonical skills load: `ticket-craft` + `pr-conventions`","Prompted: skill","Whenever a session cuts/moves/plans tickets or touches git/PRs — in BOTH harnesses (OpenCode reads .claude/skills natively)","`.claude/skills/ticket-craft/SKILL.md` + `.claude/skills/pr-conventions/SKILL.md` (canonical, all 23 repos)","ticket-craft: the intake contract as working knowledge (epic/stub/triage shapes, dash-lines, positional status, Prompt rule, ≤10 today, board-reads-main). pr-conventions: claude/ branches, ticket-only→main, explicit staging, no model identifiers in messages, no secrets, CI-truth, finishing-PR moves the stub, mid-PR discoveries become stubs not scope creep.","Good — the estate`s portable process brain; already cross-harness for free. The natural home for the `/next` resolution procedure (report §6b).","Extend ticket-craft with the Picking-up section (cut `pickup-verb` 1)."
39,"2 · Repo session start","Every repo","Repo-specific skills/hooks extend the baseline","Prompted: skill / programmed: hook","Per repo, as authored","e.g. jamienisbet `.claude/skills/design-dna/` (per-turn UI checklist, auto-loads for UI work); sustentus`s 31 skills + `route-request.sh` + its own `block-local-checks.sh`","The repo-wins principle in asset form: repos add tuned skills on top of canonical ones; drift from canonical copies is warned, additions are not policed.","Good — this is the intended shape. AUDIT still lists per-repo breakage (sustentus dead `impeccable` hook fires on every edit; courseday skill-name mismatch; remi-ai unregistered `route-request.sh`).","AUDIT `broken config` items remain open — pure fixes, no decision needed."
40,"2 · Repo session start","Every repo","`.icm/CONTEXT.md` declares the profile","Prompted: contract + read by tooling","Conformance runs; any session mapping the repo`s `.icm/`","`<repo>/.icm/CONTEXT.md` (canonical template copy) — `- profile:` line (missing = intake)","Declares intake vs pipeline; documents the layout and the four travelling rules (path identity, positional status, planning-lives-here, board-reads-main). Declaring `pipeline` + re-running `--fix` seeds the run spine; the fix never upgrades a profile itself.","Good — one line of config, human-changed only.","—"
41,"2 · Repo session start","Every repo","`.icm/intake/README.md` micro-copy — the standalone contract","Prompted: contract","Any session (esp. cloud) working tickets in a repo without icm-board visible","canonical `_system/template/icm/intake/README.md` → per-repo copy","Self-contained restatement of TICKETS.md: epics+breakdown+sequences+depends-on, triage lanes, path identity, positional status, priority/blocked lines, the strong-form Prompt rule (`must stand alone`), board-reads-main, no-loose-TODO. The one sanctioned copy (row 17).","Good — the portability keystone. jamienisbet`s copy deliberately softens the Prompt rule to `for work meant to be picked up` — legal under repo-wins, contradicts canonical + hygiene lint (report F-chain; resolves with row 138).","TICKETS.md prompt-rule rewrite propagates a new micro-copy via future fixes (cut `pickup-verb` 3)."
42,"3 · icm-board session start","Estate","icm-board AGENTS.md — estate identity + standing rules","Prompted: contract","Every session at `~/Apps`","`AGENTS.md` (via CLAUDE.md import)","What the repo is (holds the business, no app code), the workspace map, routing table, and the standing rules block (projects/ untracked, deals tracked no secrets, tickets-next-to-logic, self-binding baseline, conformance-reports-not-repairs, CI-truth, sustentus exemption, no secrets).","Good — dense but within the thin-Layer-0 spirit at ~95 lines.","—"
43,"3 · icm-board session start","Estate","Estate SessionStart hook → today board","Programmed: hook (SessionStart)","Every session at `~/Apps`","`_system/hooks/session-start.sh` → `tickets-board.sh --today`","Prints the Today group of the estate board, or `No .icm/today.md picks. Plan the day with /day.` plus the RESULT line (n today · n open across n repos). Quiet on failure.","Good mechanism, currently a standing nag: today.md has no living writer (/day not a habit), so every session opens with the same unanswered prompt (report §5).","`Plan today` board launcher to give the flag a writer (jamienisbet cut `board-queries` 4)."
44,"3 · icm-board routing","Estate","CONTEXT.md Layer 1 — task routing","Prompted: contract","Orientation at the start of any icm-board task","`CONTEXT.md`","Two tables: `I want to…` → command → stage contract; `a session needs to know…` → Layer-3 file. Explicitly `for orientation, not dispatch` — /client lands itself from DEAL.md.","Good — honest about its own role.","—"
45,"3 · icm-board routing","Estate ↔ deal","`/client <name>` — deal entry + self-landing","Prompted: command","Jamie types /client <name>","`.claude/commands/client.md`","Routing only: find `workspaces/deals/<slug>/`; no folder + genuinely new → confirm inbound/outbound then enter 01_intake; no folder but relationship predates system → ADOPT at true stage (confirmed with Jamie, provenance lines, honest gaps); folder exists → read DEAL.md Stage row, enter that stage`s contract, STATE THE STAGE OUT LOUD so Jamie can correct; past-07 or lost → summary + pointer only. Rules travelling with every stage: writes stay in deals/ (+ client repo `.icm/` in 06–07); drafts only, Jamie sends; Neon authoritative; no secrets.","Good — idempotent, adoption-aware, self-correcting (state-stage-out-loud). The fattest of the four commands but still routing, not process.","—"
46,"3 · icm-board routing","Estate ↔ repo","`/project <repo>` · `/day [wrap]` · `/icm-check` — thin routers","Prompted: command","Jamie types the command","`.claude/commands/{project,day,icm-check}.md`","Each is ≤12 lines: read the stage contract and follow it exactly — `the stage contract is the process; this file only routes`. Frontmatter allowed-tools scope each command (e.g. /day gets the two board scripts + git; /icm-check gets icm-check.sh but no Write).","Good — the thin-router discipline held; nobody snuck process into a command file.","—"
47,"4 · /project ritual","Estate ↔ repo","Step 0 guards — never error, always land","Prompted: contract","Every /project invocation","`workspaces/deliver/stages/project/CONTEXT.md`","Repo not on disk → clone (`gh repo clone k0d0minio/<name> projects/<name>`); not on GitHub → STOP (the dashboard creates client repos, never by hand); no `.icm/` → run `icm-check.sh --fix` and report; register present → re-run path, absent → first-run; thin repo = fine; uncommitted changes left strictly alone, never `git add -A`.","Good — every arrival state has a defined landing; the STOP preserves the createClientRepo monopoly.","—"
48,"4 · /project ritual","Estate ↔ repo","First run vs re-run split","Prompted: contract","After guards","project contract §1a/1b","1a first run: read what exists first (`.icm/docs/` client words, CLAUDE.md, README); adopt-never-fabricate — existing scope docs folded in with provenance, made decisions not re-asked. 1b re-run: read register, take last run-log commit, `git log <sha>..HEAD` for what changed; STATE THE POSTURE out loud (launch / maintenance / expansion) for correction — posture aims interrogation and lenses.","Good — the posture statement is a cheap high-leverage gate; dnd`s re-run shows the whole loop working (12 decisions appended, lenses scoped).","—"
49,"4 · /project ritual","Estate ↔ repo","Step 2 scan + board reconcile + ticket-scout","Prompted: contract + agent","Before interrogation","project contract §2; `.claude/agents/ticket-scout.md`","Cheap structural scan (stack, routes, ticket state, what shipped). RECONCILE THE BOARD FIRST: visibly-merged stubs → `_done/` now; distinguish the commit that created a ticket from the one that did the work; ambiguous → ask. Spawn ticket-scout (read-only) if real history: reports ticket state, shipped-but-open, off-ticket work, dormant promises, stub-shaped candidates (proposes, never creates).","Good — board honesty before planning is the right order; scout`s propose-never-create keeps the write monopoly with the command.","—"
50,"4 · /project ritual","Estate ↔ repo","Step 3 interrogation (the ticket-quality gate)","Prompted: contract","After scan","project contract §3","Features and business logic first — a question that changes the feature set beats an implementation detail. Rounds ≤4, escape hatches, stop when the ticket set stops changing, say what was left unasked. Re-run leads with `last run you decided X/Y/Z — still true?`; nothing-changed is a valid outcome (skip to write). Constraints asked once, recorded, inherited by every ticket.","Good — this is where `scoped wrong at cut time` (Jamie`s #1 failure mode) is supposed to die. His round-2 answer (`gated, breakdowns only`) says the later gate is the thin one — making THIS step`s quality load-bearing.","Consider requiring the breakdown to restate the interrogation`s key rulings (strengthens the one real gate)."
